eval_metric,dataset,model,shap,random,lime,vnla,sg,itg,ig
PGI,compas,lr,0.3343599276567566,0.40012730741648855,0.9774567453980114,-1.5392481822358817,-1.536351557241613,0.44387799084765905,0.9197777681585783
(-)PGU,compas,lr,-0.01867303336991024,1.3727289356640153,0.7492028293318003,-1.4438861643882583,-1.4387676169455133,0.17132413533581614,0.6080709143720487
SA,compas,lr,-0.012948508981748165,-1.4906533916021227,1.6890529944396253,-0.6133889450431594,-0.6133889450431594,-0.040679652130530396,1.0820064483610958
RA,compas,lr,-0.9332381160753652,-1.527826515046477,0.5289155094859287,0.9468764304555105,0.9468764304555105,-0.9084801697306184,0.9468764304555105
RC,compas,lr,-0.65515017975236,-1.9693632831660235,0.7499060369702414,0.7915926645629378,0.7915926645629378,-0.5001705677406693,0.7915926645629378
SRA,compas,lr,-0.4922245236895442,-1.439258758660651,1.5425339309142403,-0.25394186536319735,-0.25394186536319735,-0.49384419387406453,1.3906772760364137
PRA,compas,lr,-0.7353904435887225,-1.7713000461308963,0.746535793381332,0.847249226961821,0.847249226961821,-0.7815929845471762,0.847249226961821
PGI,compas,ann,0.28407596158119663,0.8847525468205925,0.5957227060091991,-1.55893924471198,-1.5563544284856545,0.5835971433539895,0.7671453154326546
(-)PGU,compas,ann,-0.44672446938276633,2.141493755766478,-1.0520646376513532,0.33651110142161783,0.3237384636817481,-0.5088051321851559,-0.7941490816505639
FA,adult,lr,-0.8761139733949765,-1.4579510076862736,0.6195192808696535,0.9265244859155293,0.9265244859155293,-1.0683793056579542,0.9298760340384888
PGI,adult,lr,0.6561872567086646,0.8167601052381569,-0.7221867509134451,-1.3054340466097718,-1.3064642521336478,0.5857182436154712,1.2754194440945714
(-)PGU,adult,lr,0.35124562860789255,0.7860846044358527,-0.9512150038071631,-1.0756906694288764,-1.078580443078324,0.24359750952681752,1.7245583737438024
SA,adult,lr,-1.0249901931555434,-0.40273450513844067,1.4425720024122097,0.9476165489673076,0.9476165489673076,-1.1624386355138752,-0.747641766538966
RA,adult,lr,-1.0939821343608642,-1.161407129063142,0.48824222237142606,0.9749447997906896,0.9749447997906896,-1.163337686370454,0.9805951278416558
RC,adult,lr,-0.7011698897620285,-1.6736185167994546,0.6804224920441505,0.8822035965016377,0.8822035965016377,-0.9529988025264738,0.8829575240405304
SRA,adult,lr,-1.0389811846478447,-0.9110089135249293,1.1571982947941624,1.1153454671842116,1.1153454671842116,-1.0578485077800739,-0.3800506232097366
PRA,adult,lr,-0.7364316966530524,-1.5059030791742372,0.5192560431422288,0.9446423709530138,0.9446423709530138,-1.1130998000444532,0.9468937908234857
PGI,adult,ann,0.679474318060471,0.7878495474864696,-0.6914396499738311,-1.3310349271400221,-1.3335724099333108,0.7143484226265074,1.174374698873714
(-)PGU,adult,ann,0.1526759911275613,0.6658087182339172,-0.8044083716080039,-1.11517253619946,-1.1198977689062783,0.4314800235265645,1.7895139438256986
