dataset,model,axe_eval,shap,lime,vnla,sg,itg,ig,random_error,random,coeffs,wts_time_feats,ranked_columns,id
heloc,ann,3NN,0.7727462850853054,0.7878701155751237,0.7855806274078152,0.785723720418272,0.7802201430930105,0.8008585580627409,0.7410566868464502,0.7417611447440836,,,"['ig', 'lime', 'sg', 'vnla', 'itg', 'shap', 'random']",3NN
heloc,ann,5NN,0.7780187121629059,0.7939680792515135,0.7913373692900385,0.7910401761144744,0.7875839295542101,0.8036323610346727,0.7514364336818932,0.748717666483214,,,"['ig', 'lime', 'vnla', 'sg', 'itg', 'shap', 'random']",5NN
heloc,ann,9NN,0.7839295542102366,0.7953439735828289,0.7938359933957073,0.7938690148596589,0.794089157952669,0.8075949367088608,0.7648761695101818,0.7550027517886625,,,"['ig', 'lime', 'itg', 'sg', 'vnla', 'shap', 'random']",9NN
heloc,ann,15NN,0.7865492570170609,0.797787561915245,0.7944634012107872,0.7946835443037976,0.7972592184920199,0.8091029168959825,0.7648981838194826,0.7587231700605394,,,"['ig', 'lime', 'itg', 'sg', 'vnla', 'shap', 'random']",15NN
heloc,ann,31NN,0.7855145844799118,0.7954870665932858,0.7937479361585033,0.7935277930654927,0.7971161254815631,0.8090588882773804,0.7551128233351678,0.7571051183269124,,,"['ig', 'itg', 'lime', 'vnla', 'sg', 'shap', 'random']",31NN
heloc,ann,65NN,0.7807374793615851,0.790908090258668,0.7891799669785361,0.7891029168959823,0.7898183819482665,0.8058558062740782,0.7600110071546504,0.7561915244909191,,,"['ig', 'lime', 'itg', 'vnla', 'sg', 'shap', 'random']",65NN
compas,lr,1NN,0.6630422209369576,0.6898207056101793,0.6894736842105262,0.6894736842105262,0.6604973973395026,0.6894736842105262,0.6412955465587045,0.6585309427414691,0.6894736842105262,0.6604973973395026,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",1NN
compas,lr,3NN,0.6845575477154424,0.6945054945054944,0.6943898207056101,0.6943898207056101,0.682648930017351,0.6943898207056101,0.6857721226142278,0.6710237131289762,0.6943898207056101,0.682648930017351,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",3NN
compas,lr,5NN,0.6872180451127818,0.6928860613071139,0.6927125506072874,0.6927125506072874,0.6860613071139388,0.6927125506072874,0.6787160208212839,0.6745517640254481,0.6927125506072874,0.6860613071139388,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",5NN
compas,lr,9NN,0.6895315211104684,0.6916714864083284,0.691497975708502,0.691497975708502,0.6894736842105262,0.691497975708502,0.6750722961249276,0.6721226142278773,0.691497975708502,0.6894736842105262,"['lime', 'ig', 'sg', 'vnla', 'shap', 'itg', 'random']",9NN
compas,lr,15NN,0.6917871602082127,0.6910931174089068,0.6909774436090225,0.6909774436090225,0.6921920185078079,0.6909774436090225,0.6643146327356854,0.673742047426258,0.6909774436090225,0.6921920185078079,"['itg', 'shap', 'lime', 'ig', 'sg', 'vnla', 'random']",15NN
compas,lr,31NN,0.6901677270098322,0.6884326200115674,0.6882012724117985,0.6882012724117985,0.6903412377096587,0.6882012724117985,0.6809716599190283,0.6726431463273568,0.6882012724117985,0.6903412377096587,"['itg', 'shap', 'lime', 'ig', 'sg', 'vnla', 'random']",31NN
compas,lr,65NN,0.6877964141122036,0.684441873915558,0.6842105263157894,0.6842105263157894,0.6881434355118565,0.6842105263157894,0.6706188548293812,0.6705031810294968,0.6842105263157894,0.6881434355118565,"['itg', 'shap', 'lime', 'ig', 'sg', 'vnla', 'random']",65NN
compas,ann,1NN,0.6694042799305957,0.6781376518218623,0.6825332562174669,0.6830537883169461,0.6699248120300751,0.6803354540196644,0.6304800462695199,0.6572006940427993,,,"['sg', 'vnla', 'ig', 'lime', 'itg', 'shap', 'random']",1NN
compas,ann,3NN,0.6855986119144013,0.6821283979178716,0.684788895315211,0.684788895315211,0.6860034702139964,0.6824754193175245,0.6787738577212261,0.6679583574320417,,,"['itg', 'shap', 'sg', 'vnla', 'ig', 'lime', 'random']",3NN
