eval_metric,dataset,model,shap,random,lime,vnla,sg,itg,ig
9NN,adult,lr,0.7988774078326317,0.7529361738316962,0.7993919292426755,0.8035378662244334,0.8035378662244334,0.7957860271293108,0.8035421184674916
1NN,adult,ann,0.7880682059786538,0.7175745205595953,0.7898243823616957,0.7908194072373178,0.7908364162095506,0.7810052302589616,0.7941871837394227
3NN,adult,ann,0.7975507079984694,0.7414466130884043,0.7947697410383978,0.7955691627333419,0.7955393970319343,0.7918144321129397,0.7976485095888082
5NN,adult,ann,0.8001913509376195,0.7474337713143683,0.7956074329208657,0.7964026023727516,0.7964323680741592,0.7935068248501084,0.7989369392354467
9NN,adult,ann,0.7951269294552877,0.7500063783645874,0.7954245864693626,0.7960836841433858,0.7961134498447932,0.7915890632308542,0.7978356082833695
FA,german,lr,0.4573143628668787,0.4870827716535347,0.9550433223335948,0.9666666666666668,0.9666666666666668,0.4470013668647161,0.9666666666666668
PGI,german,lr,0.100212812423706,0.0869924053549766,0.0838845670223236,0.0449952632188797,0.0450465641915798,0.0956223383545875,0.0858222991228103
PGU,german,lr,0.1012863144278526,0.0870053395628929,0.0902828648686409,0.1157958656549453,0.116249568760395,0.1032065376639366,0.0882973819971084
SA,german,lr,0.2708782225769354,0.2989908094893089,0.955027785610431,0.6044277189673298,0.6044277189673298,0.139390652176773,0.6911666666666669
RA,german,lr,0.0084441344193941,0.0181156335830069,0.7114894965774696,0.9666666666666668,0.9666666666666668,0.0030346938464436,0.9666666666666668
RC,german,lr,-0.0440339631379086,0.0040041863480596,0.9648324441974622,0.9666666666666665,0.9666666666666665,0.0606869321089012,0.9666666666666665
SRA,german,lr,0.0046683401256624,0.011592184957565,0.711482434430577,0.6044277189673298,0.6044277189673298,0.0018647907449951,0.6911666666666669
PRA,german,lr,0.4768561205273068,0.4844146892655367,0.956194444444444,0.9666666666666668,0.9666666666666668,0.4464115819209039,0.9666666666666668
PGI,german,ann,0.0641106963157653,0.0581416375935077,0.0455328859388828,0.0226189438253641,0.0226110499352216,0.0610140189528465,0.0516740344464778
PGU,german,ann,0.0780217871069908,0.0583594292402267,0.0654237419366836,0.0883959084749221,0.0885575339198112,0.0783442929387092,0.0591160804033279
FA,heloc,lr,0.5035655271588008,0.4153679297131011,0.8629090937907122,0.8695652173913043,0.8695652173913043,0.5017687542514401,0.8695652173913043
PGI,heloc,lr,0.2335362583398819,0.2315475046634674,0.267740935087204,0.123844176530838,0.1238844022154808,0.2323970645666122,0.235353797674179
PGU,heloc,lr,0.2310411930084228,0.2219528257846832,0.2002755403518676,0.2742664813995361,0.2745655477046966,0.231438010931015,0.2335429787635803
SA,heloc,lr,0.2325767570662312,0.1356725235620635,0.8628587753694527,0.2366575677653884,0.2366575677653884,0.2267997931683488,0.4169510181618051
RA,heloc,lr,0.0471076364490984,0.0400987172075364,0.6167136306834887,0.8695652173913043,0.8695652173913043,0.0466400232000863,0.8695652173913043
RC,heloc,lr,0.3306388282818615,-0.0010632998405485,0.8646550692732885,0.8695652173913043,0.8695652173913043,0.3391771999943694,0.8695652173913043
SRA,heloc,lr,0.0219326750853184,0.0102913010816795,0.616676940167987,0.2366575677653884,0.2366575677653884,0.0217444617105883,0.4169510181618051
PRA,heloc,lr,0.560315509428955,0.4343849589189494,0.8537862654203493,0.8695652173913043,0.8695652173913043,0.5578008314099817,0.8695652173913043
PGI,heloc,ann,0.2951493561267853,0.2979682087898254,0.3245012760162353,0.2677068412303924,0.2666847109794616,0.3029216527938843,0.3084942102432251
PGU,heloc,ann,0.2969928085803985,0.2835300266742706,0.2968699634075165,0.3142891824245453,0.3147760331630707,0.2869191467761993,0.3049723207950592
FA,compas,lr,0.4849026412184306,0.3585656448814343,0.6946982841719683,0.7142857142857142,0.7142857142857142,0.5029188355504144,0.7142857142857142
PGI,compas,lr,0.1543329507112503,0.1577578485012054,0.1878228187561035,0.0567630566656589,0.0569139011204242,0.1600362062454223,0.1848191320896148
PGU,compas,lr,0.1844498515129089,0.1579099148511886,0.1698032021522522,0.2116347104310989,0.2115370780229568,0.180825799703598,0.1724951863288879
SA,compas,lr,0.3782880277617119,0.1035839598997493,0.6946886446886447,0.2666666666666666,0.2666666666666666,0.3731328320802005,0.5818392134181608
RA,compas,lr,0.2494524773472141,0.1024484287642182,0.6109504530557162,0.7142857142857142,0.7142857142857142,0.2555735492577597,0.7142857142857142
RC,compas,lr,0.3422291993720565,0.0042551433528877,0.7035652317607203,0.7142857142857142,0.7142857142857142,0.3820850552723011,0.7142857142857142
SRA,compas,lr,0.2210025062656641,0.0395141700404858,0.6109408135723925,0.2666666666666666,0.2666666666666666,0.2206921149026411,0.5818392134181608
PRA,compas,lr,0.4991875292627172,0.3583959899749374,0.7005976479660689,0.7142857142857142,0.7142857142857142,0.4929080944118538,0.7142857142857142
PGI,compas,ann,0.129459723830223,0.1482351869344711,0.1392009258270263,0.0718522444367408,0.0719330385327339,0.1388219147920608,0.1445591151714325
PGU,compas,ann,0.1931617110967636,0.1479199826717376,0.2037429809570312,0.1794708520174026,0.17969411611557,0.1942468732595443,0.1992346495389938
FA,adult,lr,0.4560622646194785,0.3551685535765138,0.7154132177017748,0.7686495925301896,0.7686495925301896,0.4227224087257255,0.7692307692307693
PGI,adult,lr,0.2177643179893493,0.2306377291679382,0.1072576195001602,0.0604976452887058,0.0604150518774986,0.2121146917343139,0.2674092650413513
PGU,adult,lr,0.2325893640518188,0.2053953111171722,0.3140429258346557,0.3218274116516113,0.3220081329345703,0.2393214851617813,0.1467048376798629
SA,adult,lr,0.1245367371403855,0.2729138510896388,0.7129279147852945,0.5949055919205173,0.5949055919205173,0.0917621019113556,0.1906705787302802
RA,adult,lr,0.0827486744568005,0.0604375981490409,0.6063101298922193,0.7673610634804665,0.7673610634804665,0.0597987725682584,0.7692307692307693
RC,adult,lr,0.2920604080190762,-0.0008602614802385,0.7082232306112906,0.7690036714146931,0.7690036714146931,0.216204582142727,0.7692307692307692
SRA,adult,lr,0.012850955935533,0.0473856737206654,0.6055140216334245,0.5942195781001751,0.5942195781001751,0.0077594023199329,0.1906705787302802
PRA,adult,lr,0.505105417466688,0.3843700629004877,0.7021314640908977,0.7688775059613178,0.7688775059613178,0.4460036002324559,0.7692307692307693
PGI,adult,ann,0.2139822393655777,0.2209119498729705,0.1263234913349151,0.0854265987873077,0.0852643474936485,0.2162121534347534,0.245627075433731
PGU,adult,ann,0.2260651141405105,0.2005820274353027,0.2735956311225891,0.2890287339687347,0.2892633974552154,0.2122192084789276,0.1447768211364746
